applicationdate,application_month_dt,salary_6m_amt,trans_out_cashless_sum_3m_amt,avg_salary_6m_amt,active_deal_3m_amt,conf_income_amt,trans_out_services_sum_3m_pct,trans_in_cashless_sum_1m_amt,dti_app_inc_w_services,trans_out_cash_sum_1m_amt,trans_out_cash_sum_6m_amt,trans_in_sum_12m_amt,trans_in_sum_e4m_amt,trans_out_services_sum_1m_amt,trans_out_cash_sum_6m_pct,trans_out_sum_e2m_amt,trans_out_sum_3m_amt,dti_app_inc,trans_out_sum_e5m_amt,trans_out_sum_e3m_amt,trans_out_sum_12m_amt,trans_in2out_cnt_12m_pct,trans_in_sum_3m_amt,trans_out_cashless_sum_12m_amt,salary_1mto12m_amt,trans_in_sum_e3m_amt,trans_in2out_sum_3m_pct,trans_out_cash_sum_12m_amt,trans_out_services_sum_12m_amt,active_deal_12m_amt,trans_in_return_sum_12m_amt,salary_1m_amt,add_income_amt,active_outstanding_amt,trans_out_cashless_sum_1m_amt,total_income_amt,trans_in_sum_1m_amt,active_credit_limit,all_debt_to_income,trans_out_sum_1m_amt,main_income_amt,trans_out_cashless_sum_6m_pct,salary_1mto3m_amt,salary_1mto6m_amt,dti_salary,trans_in2out_sum_12m_pct,salary_to_income,active_dealcnt_1m_to_3m_pct,active_dealcnt_1m_to_6m_pct,firth_deal_age_month,last_deal_age_month,del_12m_cnt,salary_6m_cnt,salary_month_12m_cnt,del_6m_cnt,active_deal_cnt,active_deal_12m_cnt,trans_out_sum_6m_cnt,until_close_month_cnt,salary_12m_cnt,trans_in_sum_12m_cnt,trans_in_sum_3m_cnt,trans_out_sum_3m_cnt,region,reg_region,industry_group,industry,live_region,bki_less_6m_flg,deal_type_6_flg,employmenttype,inquiry_1_week,gender,bki_del59_12m_flg,education_group,education,deal_type_9_flg,zp_segment,bki_del90_6m_flg,saleschannel,loanpurpose,age,raw_lgbm,score4,score_list,util_score,logreg_pd,logreg_pd_isoton,new_gl_90_12
2019-04-09,2019-04-01,,46200.09135135135,,27180.0,100000.0,0.06,0.0,4.615261693693693,0.0,0.0,35.82766593620648,0.0,20722.48002243042,0.0,20991.932856667405,48527.57002258301,0.0,3887.020011901856,20069.753939264152,106753.75992584229,1.0882882882882884e-05,4.795945945945946,49402.468297297295,,0.0,0.0,42200.0,15153.759925842283,27359.03968108108,0.0,,,27180.0,20000.0,100000.0,0.327027027027027,154219.0,0.27,40766.79627332941,100043.71162162162,1.21,,,,0.0,,1.0,1.0,25.0,25.0,0,77,48,0,1,1,27,654,111,0,0,20,51,52,0,25,51,0,0,0,1,1,0,0,2,0,0,0,3,14,24,0.016557694583163,0.009811,862.0,0.0977141052991561,0.0071513576107544,0.0037940379403794,0
2019-04-09,2019-04-01,,0.0913513513513513,,0.0,90000.0,0.05,0.0,4.6752616936936935,322000.0,127200.0,242235.8276659362,0.0,8343.739875793457,0.39,109067.66286765374,122471.77001953124,0.0,19610.180053710938,5108.983889215325,687569.3802833557,0.0300108828828828,154004.79594594595,2.468297297297297,,0.0,1.26,570800.0,116769.38028335571,179.03968108108108,0.0,,,0.0,0.0,90000.0,0.327027027027027,45000.0,0.0,330388.05612669245,70043.71162162162,0.0,,,,0.35,,0.0,0.0,139.0,2.0,0,77,48,0,1,2,92,654,111,6,3,37,73,74,0,11,73,1,0,0,1,1,0,0,2,0,0,0,3,0,32,0.0122321758932786,0.004987,861.0,0.0511119632935191,0.0061096625076126,0.0037940379403794,0
2019-04-09,2019-04-01,,100.09135135135136,,,25000.0,0.57,2000.0,,44700.0,150300.0,35.82766593620648,0.0,28512.17001342773,1.99,55294.47287665641,113116.60999679564,,0.0,30971.98393499169,425837.950138092,1.0882882882882884e-05,4.795945945945946,102.4682972972973,,0.0,0.0,240800.0,184937.95013809204,,0.0,,,,2450.0,25000.0,2000.327027027027,,,75706.48626432673,25043.71162162162,0.0,,,,0.0,,,,,,42,77,48,25,25,57,361,661,111,0,0,207,73,74,0,11,73,2,2,0,1,1,2,1,4,2,0,2,3,14,1,0.0369763137581811,0.024006,764.0,0.2023687001636924,0.0329621265276103,0.0290519877675841,0
2019-04-09,2019-04-01,,7700.091351351351,,62017.0,300000.0,0.93,0.0,4.9252616936936935,192972.259765625,300919.3602294922,7656.827665936206,0.0,114082.52921390532,0.98,142238.63296662606,592927.1494088173,0.0,54585.1499080658,337721.8837572268,670744.4994854927,0.0100108828828828,135.79594594594596,7702.468297297297,,0.0,0.0,300919.3602294922,362125.1392560005,62196.03968108108,5990.0,,,62017.0,0.0,300000.0,0.327027027027027,168391.0,0.21,307099.1052304293,300043.7116216216,0.03,,,,0.01,,1.0,1.0,128.0,3.0,0,77,48,0,2,2,307,654,111,3,1,219,69,70,0,2,69,1,0,0,1,1,0,0,2,0,0,0,3,13,28,0.0196984115730311,0.086311,742.0,0.0852764035906651,0.0311584154217967,0.0290519877675841,0
2019-04-09,2019-04-01,,348235.0913513513,,205208.0,360000.0,0.22,0.0,4.775261693693693,505300.0,2000904.28125,418765.8276659362,385000.0,157593.98977661133,2.35,484707.78292380605,1531043.1196289062,0.0,902851.6916351318,509355.0836511782,5338711.121063232,0.0100108828828828,385004.795945946,1960717.468297297,,0.0,0.25,2552204.28125,825791.8398132324,205387.03968108108,0.0,,,205208.0,187575.0,360000.0,0.327027027027027,600000.0,0.57,850513.3060275103,360043.7116216216,1.43,,,,0.08,,0.0,0.0,137.0,20.0,0,77,48,0,1,2,494,497,111,6,2,258,69,70,0,28,69,0,0,0,1,0,0,0,2,0,0,0,3,13,22,0.0125133331206869,0.00572,948.0,0.063067469116151,0.0026710018539205,0.0,0
2019-04-09,2019-04-01,,,,118812.0,150000.0,,,14034.605261693694,,,,,,,,,0.09,,,,,,,,,,,,118991.03968108108,,,,118812.0,,150000.0,,250000.0,0.79,,150043.71162162162,,,,,,,1.0,1.0,74.0,50.0,0,77,48,0,1,1,1022,162,111,224,105,607,70,71,0,11,70,0,0,0,1,0,0,0,2,0,1,0,3,13,23,0.0120566627927046,0.013391,859.0,0.0732267682119755,0.0066157618255515,0.0037940379403794,0
2019-04-09,2019-04-01,,0.0913513513513513,,51273.0,22000.0,1.2,0.0,2131.7752616936937,0.0,97000.0,81135.82766593622,16000.0,9562.989974975586,10.14,1540.322871315841,37433.05993652344,0.1,33467.27001953125,9.753939264153145,182124.4500012397,0.1100108828828828,17804.795945945945,2.468297297297297,,250.0,0.48,128400.0,53724.45000123978,51452.03968108108,0.0,,,51273.0,0.0,22000.0,9800.327027027028,414217.0,2.33,9607.30622587458,,0.0,,,,0.45,,1.0,0.0,168.0,8.0,0,77,48,0,4,5,67,654,111,14,5,15,73,74,1,0,73,0,0,0,1,1,0,1,5,1,1,0,3,14,40,0.0202510445877851,0.013411,904.0,0.0721706419572186,0.0049473866211611,0.0026737967914438,0
2019-04-09,2019-04-01,,94700.09135135137,,648989.0,120000.0,0.61,5000.0,30198.975261693693,2000.0,166700.0,23205.827665936205,14970.0,54739.98996543884,0.77,107330.8226576928,270805.13970947266,0.25,44695.960021972656,67496.71393071923,1314395.7296447754,0.0100108828828828,16174.795945945943,830891.4682972973,,1200.0,0.06,166700.0,316806.7296447754,649168.0396810811,0.0,,,648989.0,160749.0,120000.0,5000.327027027027,1113000.0,5.41,217533.30621633783,120043.71162162162,2.54,,,,0.02,,0.0,0.0,62.0,8.0,5,77,48,2,2,5,540,192,111,7,4,207,6,7,0,2,6,0,0,0,2,0,1,0,2,1,0,1,3,14,7,0.0354374756324497,0.016634,747.0,0.4459840015419221,0.0522593090227869,0.0541103017689906,0
2019-04-09,2019-04-01,,384500.09135135135,,627073.0,200000.0,0.45,36300.0,15298.035261693694,35800.0,142200.0,162285.8276659362,20650.0,328129.7585792541,0.25,165707.44266043938,700555.6088027954,0.08,601874.9100341797,303490.2531000308,2386377.2088775635,0.0400108828828828,97154.79594594597,900358.4682972973,,45500.0,0.14,193800.0,1292221.2088775637,627252.0396810811,0.0,,,627073.0,210800.0,200000.0,36300.32702702703,1425000.0,3.14,574774.0748301531,200043.7116216216,1.51,,,,0.07,,1.0,1.0,162.0,13.0,1,77,48,1,2,2,409,499,111,18,9,268,69,70,0,28,69,0,0,0,4,0,1,0,2,1,0,1,3,14,13,0.0241864569214451,0.004918,875.0,0.2887371899158105,0.0094911083106222,0.0050724637681159,0
2019-04-09,2019-04-01,,0.0913513513513513,,0.0,40000.0,0.0,0.0,4.605261693693693,10400.0,0.0,20035.827665936205,0.0,9032.77995300293,0.0,14.412837136153486,0.0,0.0,0.0,9.753939264153145,20000.0,1.0000108828828829,4.795945945945946,2.468297297297297,,0.0,,20000.0,0.0,179.03968108108108,0.0,,,0.0,21000.0,40000.0,0.327027027027027,0.0,0.0,40477.09620390192,40043.71162162162,0.0,,,,1.0,,,,45.0,11.0,0,77,48,0,0,1,0,654,111,2,0,0,44,45,0,28,44,0,0,0,1,0,0,0,2,0,0,0,3,13,6,0.0126686632601218,0.029168,796.0,0.0434750001929309,0.0125158508446798,0.0104166666666666,0
2019-04-09,2019-04-01,,0.0913513513513513,,23200.0,55000.0,0.52,0.0,6195.855261693694,53000.0,312377.0,35.82766593620648,0.0,26214.37003326416,3.94,103708.47280417716,221326.63997650144,0.11,53291.56004714966,74155.23393499169,722124.0597190857,1.0882882882882884e-05,4.795945945945946,2.468297297297297,,0.0,0.0,569777.0,152347.0597190857,23379.03968108108,0.0,,,23200.0,0.0,55000.0,0.327027027027027,210400.0,0.42,79258.68628416315,55043.71162162162,0.0,,,,0.0,,1.0,1.0,168.0,33.0,0,77,48,0,1,1,232,167,111,0,0,93,6,7,0,2,6,0,0,0,1,0,0,1,4,1,0,0,3,6,29,0.0263135614361879,0.014838,828.0,0.0792206353362529,0.0118107537051397,0.0072332730560578,0
2019-04-09,2019-04-01,,0.0913513513513513,,1116620.0,55000.0,0.24,0.0,25925.69526169369,43900.0,286900.0,330035.8276659362,0.0,15987.830080986025,4.79,26763.74283896721,148965.33000183103,0.47,30100.0599899292,94946.75393926416,495609.7699508667,0.0800108828828828,5004.795945945946,4002.468297297297,,0.0,0.03,380600.0,111009.7699508667,1116799.0396810812,0.0,,,1116620.0,0.0,55000.0,11000.327027027028,1635999.0,20.3,59932.146331885015,55043.71162162162,0.0,,,,0.67,,1.0,1.0,157.0,7.0,0,77,48,0,2,4,73,654,111,13,2,38,73,52,0,2,51,0,0,0,1,0,0,0,2,1,0,0,3,14,27,0.0203945182136555,0.014237,828.0,0.1398687957746635,0.0115740614731594,0.0072332730560578,0
2019-04-09,2019-04-01,,0.0913513513513513,,30000.0,23000.0,1.38,0.0,5.325261693693693,13000.0,119500.0,60535.82766593621,0.0,22941.830047607426,3.32,23933.93276511468,124005.00979614258,0.0,43458.959869384766,64022.39383184228,409835.4895391837,0.0100108828828828,35004.795945945945,2.468297297297297,,0.0,0.28,163700.0,246135.48953918368,30179.03968108108,0.0,,,30000.0,0.0,23000.0,0.327027027027027,50000.0,1.3,35986.14629850641,23043.71162162162,0.0,,,,0.15,,1.0,1.0,147.0,46.0,0,77,48,0,1,1,286,654,111,3,1,121,73,74,0,11,73,0,0,0,1,1,0,0,2,0,0,0,3,13,25,0.0105428088868922,0.022216,857.0,0.066822192137048,0.0067053787321993,0.0037940379403794,0
2019-04-09,2019-04-01,,15530.091351351351,,2961133.0,130000.0,0.73,5500.0,48165.935261693696,102300.0,107100.0,101135.82766593622,0.0,61233.65027809143,0.61,117804.90284262932,251467.80001449585,0.37,0.0,133687.06394826685,251467.80001449585,0.0700108828828828,101104.79594594597,15532.468297297297,,74000.0,0.4,107100.0,128837.80001449584,2961312.039681081,0.0,,,2961133.0,12880.0,130000.0,6500.327027027027,3107300.0,22.78,176457.96652899042,130043.71162162162,0.09,,,,0.4,,1.0,0.0,133.0,4.0,0,77,48,0,5,11,151,359,111,11,11,151,36,37,0,28,36,1,1,0,1,0,0,0,2,1,0,0,3,13,16,0.0158767427218203,0.012693,790.0,0.1217535994445279,0.0149187173158601,0.0123339658444022,0
2019-04-09,2019-04-01,,75531.09135135135,,21105.0,30000.0,0.59,32320.0,1121.3352616936936,31900.0,131300.0,114373.82766593622,34891.0,31090.99001312256,1.18,64616.302872765424,201563.74010658264,0.04,76772.91000175476,60860.743963830806,663195.9801712036,0.0100108828828828,85995.79594594595,102380.4682972973,,14000.0,0.43,301700.0,259017.9801712036,21284.03968108108,1000.0,,,21105.0,48599.0,30000.0,32320.327027027022,173920.0,0.7,111634.30626402156,30043.71162162162,0.92,,,,0.17,,1.0,1.0,65.0,2.0,2,77,48,2,4,4,744,654,111,13,5,353,23,24,0,2,23,1,0,0,2,0,1,0,2,0,0,1,7,13,10,0.0287065041813317,0.039592,791.0,0.1920309221797386,0.0227920283651707,0.0209042294603791,0
2019-04-09,2019-04-01,,1125.0913513513512,,569.0,200000.0,6.28,0.0,4.895261693693693,0.0,49800.0,504077.2280565612,0.0,27829.10000610352,1.79,80165.82310019768,189507.6401062012,0.0,64683.80039978027,35756.29371892724,636304.2399272919,0.0500108828828828,23904.795945945945,56363.74881487542,,0.0,0.13,61200.0,518742.95940971375,748.0396810810811,0.0,,,569.0,0.0,650000.0,0.327027027027027,500000.0,0.0,27873.416257002515,200043.7116216216,1.28,,,,0.79,,1.0,1.0,146.0,84.0,0,77,48,0,1,1,202,654,111,16,2,116,73,74,0,27,73,0,0,0,1,1,0,0,2,0,1,0,3,13,19,0.0081098796418557,0.062556,894.0,0.0241566651998658,0.0048330693601279,0.0026737967914438,0
2019-04-09,2019-04-01,,0.0913513513513513,,0.0,205000.0,,0.0,4.605261693693693,0.0,0.0,35.82766593620648,0.0,0.0,,14.412837136153486,0.0,0.0,0.0,9.753939264153145,0.0,,4.795945945945946,2.468297297297297,,0.0,,0.0,0.0,179.03968108108108,0.0,,,0.0,0.0,505000.0,0.327027027027027,200000.0,0.0,44.31625089899482,205043.7116216216,,,,,,,1.0,1.0,130.0,61.0,0,77,48,0,1,1,0,654,111,0,0,0,69,70,0,28,69,0,0,0,1,0,0,0,2,0,0,0,3,13,37,0.0123216818440251,0.008525,845.0,0.0098027897987715,0.0068114078596107,0.0037940379403794,0
2019-04-09,2019-04-01,,36470.09135135135,,161460.0,65000.0,1.16,0.0,457.9352616936937,36600.0,162000.0,74435.82766593622,0.0,18581.3200378418,2.93,63320.322749245526,186064.1900024414,0.01,72704.88003540039,72960.18394719872,618599.5902023315,0.0200108828828828,5004.795945945946,54747.468297297295,,5000.0,0.03,234300.0,329434.59020233154,161639.03968108108,0.0,,,161460.0,150.0,175000.0,0.327027027027027,191460.0,2.48,55395.63628874079,65043.71162162162,0.67,,,,0.12,,1.0,1.0,123.0,1.0,0,77,48,0,2,2,189,654,111,10,1,102,73,74,0,11,73,1,0,0,1,1,0,1,4,1,0,0,3,13,21,0.0173768711075544,0.015452,794.0,0.2326710399194818,0.0175703596368626,0.0157927984838913,0
2019-04-09,2019-04-01,,0.0913513513513513,,263042.0,12425317000.0,1.67,0.0,4704.605261693694,5000.0,60000.0,54735.82766593621,6000.0,50029.69995117188,1.09,59744.21288596428,151795.80004882812,0.0,0.0,92075.75393926416,268640.2600364685,0.0700108828828828,16004.795945945943,2.468297297297297,,10000.0,0.11,100000.0,168640.2600364685,263221.0396810811,0.0,,,263042.0,0.0,12425317000.0,16200.327027027028,540000.0,0.0,55074.01620207088,12425317043.711622,0.0,,,,0.2,,1.0,1.0,57.0,9.0,2,77,48,1,3,3,12,654,111,6,2,12,46,13,1,32,46,0,0,0,1,0,1,1,3,0,1,1,3,13,6,0.034168142056604,0.008632,760.0,0.1673326338168762,0.0293127920395957,0.0290519877675841,0
2019-04-09,2019-04-01,,0.0913513513513513,,1344766.0,90000.0,0.0,35500.0,41224.605261693694,54400.0,118000.0,50535.82766593621,50000.0,0.0,2.17,21114.412837136155,118100.0,0.46,0.0,59009.75393926416,118100.0,0.3300108828828829,50004.795945945945,2.468297297297297,,0.0,0.42,118000.0,100.0,1344945.0396810812,0.0,,,1344766.0,0.0,90000.0,35500.32702702703,1660978.0,14.94,54444.31625089899,90043.71162162162,0.0,,,,0.43,,0.0,0.0,154.0,2.0,1,77,48,1,3,4,9,654,111,3,2,9,6,7,0,2,6,1,1,0,1,0,1,0,2,1,0,1,3,13,26,0.0247258695381442,0.038515,796.0,0.1788583949895148,0.0197357825454867,0.0209042294603791,0
2019-04-09,2019-04-01,,5600.091351351352,,2709841.0,70000.0,0.6,0.0,61944.925261693694,57200.0,99500.0,102555.82766593622,24000.0,52851.54001235962,0.9,51059.53271590507,126453.0099568367,0.88,147889.1698665619,56050.15393935952,1163471.1094727516,0.0100108828828828,24124.795945945945,72018.4682972973,,0.0,0.19,423840.0,667135.1094727516,2710020.039681081,0.0,,,2709841.0,400.0,70000.0,0.327027027027027,4430313.0,38.71,110555.8562632586,70043.71162162162,0.22,,,,0.09,,1.0,1.0,146.0,3.0,0,77,48,0,7,7,701,654,111,11,2,222,73,74,0,14,73,1,1,0,4,0,0,0,2,1,0,0,3,14,15,0.018871697154642,0.015466,833.0,0.3740334605006334,0.0152755608995255,0.0123339658444022,0
2019-04-10,2019-04-01,,21000.09135135135,,0.0,40000.0,1.34,19890.0,5.195261693693693,24800.0,257507.7600097656,495835.8276659362,169200.0,26077.21026611328,4.86,35457.39287864006,301592.20028305054,0.0,38219.12008059025,63607.994120233394,779450.9508186579,0.0700108828828828,252004.79594594595,37912.468297297295,,41000.0,0.84,494207.7600097656,247333.19080889225,179.03968108108108,0.0,,,0.0,2100.0,40000.0,19890.327027027022,83623.0,0.0,53021.52651701227,40043.71162162162,0.52,,,,0.64,,1.0,0.0,123.0,10.0,0,77,48,0,2,3,228,654,111,26,11,129,73,74,0,28,73,0,0,0,1,1,0,0,2,0,0,0,3,14,20,0.0081098796418557,0.007821,842.0,0.0298436782751976,0.0066707722655457,0.0037940379403794,0
2019-04-10,2019-04-01,,960.0913513513514,,3058437.0,55000.0,0.35,0.0,27863.975261693693,156400.0,118100.0,8585.827665936205,0.0,19406.54016113281,0.67,42496.57282553947,98121.16996002196,0.51,37217.6799621582,31389.323923700187,575355.0803451538,0.0100108828828828,4.795945945945946,12079.968297297297,,0.0,0.0,204900.0,358377.5803451538,3058616.039681081,0.0,,,3058437.0,100.0,205000.0,0.327027027027027,3097875.0,55.61,175950.8564120318,55043.71162162162,0.03,,,,0.01,,1.0,0.0,89.0,1.0,1,77,48,1,3,4,279,654,111,3,0,149,73,74,2,4,73,1,1,0,1,1,1,0,2,0,0,1,7,0,6,0.0232309791803295,0.015354,787.0,0.2458319323114538,0.0213232290101593,0.0209042294603791,0
